 参考表 　　全国人口の推移,,,,,,,,,,,,, 参考表 　　全国人口の推移,,,,,,,,,,,,,,, 参考表 　　全国人口の推移,,,,,,,,,,,,,,,,,,,,,,,,,,,
　Reference 　  　 Time  Series  of  Population　Estimates ,,,,,,,,,,,,,　Reference 　  　 Time  Series  of  Population　Estimates ,,,,,,,,,,,,,,,　Reference 　  　 Time  Series  of  Population　Estimates ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,　総 人 口　(確 定 値）　,,,         Total  population  (Final estimates),,,,,,,,,,,日 本 人 人 口　(確 定 値）　,,,,Japanese  population  (Final estimates),,,,,,,,,,外 国 人 人 口　(確 定 値）　,,,,Foreign  population  (Final estimates),,,,,,,,,,,,,,,,,,
,,,,,,    人　 口　 増　 減 3) 　　　,,,           Population  change,,,,,,,,,,,    人　 口　 増　 減 3) 　　　,,,     Population  change,,,,,,,,,,,    人　 口　 増　 減 3) 　　　,,,     Population  change,,,,,,,,,,,,,,,,,,
  年     月,, 月初人口 1)2),,,純　増　減,,,自　然　動　態 4),,社　会　動　態 5),,,,  年　   月,, 月初人口 1)2),,,純　増　減,,,自　然　動　態 4),,社　会　動　態 5),,,国籍の異動 7),  年　   月,, 月初人口 1)2),,,純　増　減,,,自　然　動　態 4),,社　会　動　態 5),,,国籍の異動 7),,,,,,,,,,,,,,
,,,,,Net  change,,  Natural  change,,, Migration  change,,,,,,,,,Net  change,,  Natural  change,,,Migration  change,,,による純増減,,,,,,Net  change,,  Natural  change,,,Migration  change,,,による純増減,,,,,,,,,,,,,,
,,,,,増減数,増減率6),出生児数,死亡者数,自然増減,入国者数,出国者数,社会増減,,,,,,,増減数,増減率6),出生児数,死亡者数,自然増減,入国者数,出国者数,社会増減,Net increase,,,,,,増減数,増減率6),出生児数,死亡者数,自然増減,入国者数,出国者数,社会増減,Net increase,,,,,,,,,,,,,,
  Year and month,,Population as of   ,,,,,,,Natural ,,,Net,,Year and month,,Population as of   ,,,,,,,Natural ,,,Net,or decrease,Year and month,,Population as of   ,,,,,,,Natural ,,,Net,or decrease,,,,,,,,,,,,,,
,,1st of each month ,,,Number,Rate,Live Births,Deaths,change,Entries,Exits,migration,,,,1st of each month ,,,Number,Rate,Live Births,Deaths,change,Entries,Exits,migration,by change,,,1st of each month ,,,Number,Rate,Live Births,Deaths,change,Entries,Exits,migration,by change,,,,,,,,,,,,,,
,,,,,(6)+(9),(‰),,,(4)-(5),,,(7)-(8),,,,,,,(15)+(18)+(19),(‰),,,(13)-(14),,,(16)-(17),of nationality,,,,,,(25)+(28)+(29),(‰),,,(23)-(24),,,(26)-(27),of nationality,,,,,,,,,,,,,,
,,,       (1),,(2),(3),(4),(5),(6),(7),(8),(9),,,,,       (10),,(11),(12),(13),(14),(15),(16),(17),(18),(19),,,,      (20),,(21),(22),(23),(24),(25),(26),(27),(28),(29),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015年,,,"127,094,745",8),,,,,,,,,,2015年,,,"125,319,299",9),,,,,,,,,,2015年,,,"1,775,446",9),,,,,,,,,,,,,,,,,,,,,,,
2016年,,,"127,041,812",,"-52,933",-0.42,"1,003,524","1,299,888","-296,364","3,361,488","3,227,596","133,892",,2016年,,,"125,071,221",,"-248,078",-1.98,"987,223","1,293,295","-306,072","961,652","963,739","-2,087","8,633",2016年,,,"1,970,591",,"195,145",109.91,"16,301","6,593","9,708","2,399,836","2,263,857","135,979","-8,633",,,,,,,,,,,,,,
2017年,,,"126,918,546",,"-123,266",-0.97,"965,933","1,343,081","-377,148","3,615,119","3,464,392","150,727",,2017年,,,"124,744,704",,"-326,517",-2.61,"949,201","1,336,172","-386,971","976,144","971,918","4,226","11,085",2017年,,,"2,173,842",,"203,251",103.14,"16,732","6,909","9,823","2,638,975","2,492,474","146,501","-11,085",,,,,,,,,,,,,,
2018年,,,"126,748,506",,"-170,040",-1.34,"944,504","1,369,667","-425,163","3,848,382","3,686,926","161,456",,2018年,,,"124,349,328",,"-395,376",-3.17,"927,608","1,362,444","-434,836","976,853","980,290","-3,437","7,413",2018年,,,"2,399,178",,"225,336",103.66,"16,896","7,223","9,673","2,871,529","2,706,636","164,893","-7,413",,,,,,,,,,,,,,
2019年,,,"126,555,078",,"-193,428",-1.53,"895,059","1,380,485","-485,426","4,181,759","3,972,976","208,783",,2019年,,,"123,886,404",,"-462,924",-3.72,"877,222","1,373,199","-495,977","990,656","989,665",991,"7,408",2019年,,,"2,668,674",,"269,496",112.33,"17,837","7,286","10,551","3,191,103","2,983,311","207,792","-7,408",,,,,,,,,,,,,,
2020年,,,"126,146,099",10),"-408,979",-3.23,"870,718","1,371,566","-500,848","1,997,178","1,955,271","41,907",,2020年,,,"123,398,962",11),"-487,442",-3.93,"852,195","1,363,954","-511,759","545,153","524,278","20,875","9,659",2020年,,,"2,747,137",11),"78,463",29.40,"18,523","7,612","10,911","1,452,025","1,430,993","21,032","-9,659",,,,,,,,,,,,,,
2021年,,,"125,502,290",,"-643,809",-5.10,"831,304","1,439,925","-608,621","631,946","667,134","-35,188",,2021年,,,"122,780,487",,"-618,475",-5.01,"812,798","1,431,874","-619,076","282,585","289,292","-6,707","7,308",2021年,,,"2,721,803",,"-25,334",-9.22,"18,506","8,051","10,455","349,361","377,842","-28,481","-7,308",,,,,,,,,,,,,,
2022年,,,"124,946,789",,"-555,501",-4.43,"799,486","1,530,102","-730,616","1,595,872","1,420,757","175,115",,2022年,,,"122,030,523",,"-749,964",-6.11,"782,089","1,521,435","-739,346","587,183","602,733","-15,550","4,932",2022年,,,"2,916,266",,"194,463",71.45,"17,397","8,667","8,730","1,008,689","818,024","190,665","-4,932",,,,,,,,,,,,,,
2023年,,,"124,351,877",,"-594,912",-4.76,"757,939","1,594,982","-837,043","3,250,231","3,008,100","242,131",,2023年,,,"121,193,394",,"-837,129",-6.86,"739,140","1,586,146","-847,006","913,238","911,312","1,926","7,951",2023年,,,"3,158,483",,"242,217",83.06,"18,799","8,836","9,963","2,336,993","2,096,788","240,205","-7,951",,,,,,,,,,,,,,
2024年,,,"123,801,750",,"-550,127",-4.42,"717,291","1,607,261","-889,970","4,192,568","3,852,725","339,843",,2024年,,,"120,295,592",,"-897,802",-7.41,"695,391","1,598,390","-902,999","960,697","963,038","-2,341","7,538",2024年,,,"3,506,158",,"347,675",110.08,"21,900","8,871","13,029","3,231,871","2,889,687","342,184","-7,538",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年,,,,,,,,,,,,,,2023年,,,,,,,,,,,,,,2023年,,,,,,,,,,,,,,,,,,,,,,,,,,,
     8月,Aug.,,"124,439,151",,"-91,280",-0.73,"67,135","130,439","-63,304","409,484","437,460","-27,976",,     8月,Aug.,,"121,409,946",,"-139,638",-1.15,"65,364","129,675","-64,311","76,609","152,739","-76,130",803,     8月,Aug.,,"3,029,205",,"48,358",15.96,"1,771",764,"1,007","332,875","284,721","48,154",-803,,,,,,,,,,,,,,
     9月,Sept.,,"124,347,871",,"4,006",0.03,"63,022","126,925","-63,903","337,854","269,945","67,909",,     9月,Sept.,,"121,270,308",,"-76,914",-0.63,"61,284","126,175","-64,891","60,545","71,916","-11,371",-652,     9月,Sept.,,"3,077,563",,"80,920",26.29,"1,738",750,988,"277,309","198,029","79,280",652,,,,,,,,,,,,,,
    10月,Oct.,,"124,351,877",,"-9,555",-0.08,"63,785","133,591","-69,806","299,668","239,417","60,251",,    10月,Oct.,,"121,193,394",,"-75,741",-0.62,"61,928","132,856","-70,928","61,170","66,751","-5,581",768,    10月,Oct.,,"3,158,483",,"66,186",20.95,"1,857",735,"1,122","238,498","172,666","65,832",-768,,,,,,,,,,,,,,
    11月,Nov.,,"124,342,322",,"-43,118",-0.35,"61,471","133,481","-72,010","255,718","226,826","28,892",,    11月,Nov.,,"121,117,653",,"-70,886",-0.59,"59,669","132,786","-73,117","56,168","54,645","1,523",708,    11月,Nov.,,"3,224,669",,"27,768",8.61,"1,802",695,"1,107","199,550","172,181","27,369",-708,,,,,,,,,,,,,,
    12月,Dec.,,"124,299,204",,"-156,076",-1.26,"64,630","149,448","-84,818","317,519","388,777","-71,258",,    12月,Dec.,,"121,046,767",,"4,952",0.04,"62,747","148,611","-85,864","142,695","52,499","90,196",620,    12月,Dec.,,"3,252,437",,"-161,028",-49.51,"1,883",837,"1,046","174,824","336,278","-161,454",-620,,,,,,,,,,,,,,
2024年,,,,,,,,,,,,,,2024年,,,,,,,,,,,,,,2024年,,,,,,,,,,,,,,,,,,,,,,,,,,,
     1月,Jan.,,"124,143,128",,"-37,934",-0.31,"56,274","152,790","-96,516","397,677","339,095","58,582",,     1月,Jan.,,"121,051,719",,"-167,122",-1.38,"54,624","151,985","-97,361","50,888","121,039","-70,151",390,     1月,Jan.,,"3,091,409",,"129,188",41.79,"1,650",805,845,"346,789","218,056","128,733",-390,,,,,,,,,,,,,,
     2月,Feb.,,"124,105,194",,"-102,460",-0.83,"53,540","139,290","-85,750","309,943","326,653","-16,710",,     2月,Feb.,,"120,884,597",,"-92,149",-0.76,"51,884","138,492","-86,608","61,459","67,801","-6,342",801,     2月,Feb.,,"3,220,597",,"-10,311",-3.20,"1,656",798,858,"248,484","258,852","-10,368",-801,,,,,,,,,,,,,,
     3月,Mar.,,"124,002,734",,-925,-0.01,"54,159","143,719","-89,560","392,656","304,021","88,635",,     3月,Mar.,,"120,792,448",,"-70,660",-0.58,"52,467","142,924","-90,457","82,910","63,903","19,007",790,     3月,Mar.,,"3,210,286",,"69,735",21.72,"1,692",795,897,"309,746","240,118","69,628",-790,,,,,,,,,,,,,,
     4月,Apr.,,"124,001,809",,"-60,509",-0.49,"58,291","126,878","-68,587","346,621","338,543","8,078",,     4月,Apr.,,"120,721,788",,"-90,016",-0.75,"56,562","126,187","-69,625","67,608","88,235","-20,627",236,     4月,Apr.,,"3,280,021",,"29,507",9.00,"1,729",691,"1,038","279,013","250,308","28,705",-236,,,,,,,,,,,,,,
     5月,May,,"123,941,300",,"38,144",0.31,"60,976","124,842","-63,866","357,461","255,451","102,010",,     5月,May,,"120,631,772",,"-56,083",-0.46,"59,142","124,155","-65,013","70,526","62,307","8,219",711,     5月,May,,"3,309,528",,"94,227",28.47,"1,834",687,"1,147","286,935","193,144","93,791",-711,,,,,,,,,,,,,,
     6月,June,,"123,979,444",,"-4,073",-0.03,"56,976","117,182","-60,206","319,059","262,926","56,133",,     6月,June,,"120,575,689",,"-18,491",-0.15,"55,312","116,478","-61,166","106,631","64,501","42,130",545,     6月,June,,"3,403,755",,"14,418",4.24,"1,664",704,960,"212,428","198,425","14,003",-545,,,,,,,,,,,,,,
     7月,July,,"123,975,371",,"-87,882",-0.71,"64,283","127,085","-62,802","350,001","375,081","-25,080",,     7月,July,,"120,557,198",,"-39,226",-0.33,"62,304","126,371","-64,067","122,156","98,388","23,768","1,073",     7月,July,,"3,418,173",,"-48,656",-14.23,"1,979",714,"1,265","227,845","276,693","-48,848","-1,073",,,,,,,,,,,,,,
     8月,Aug.,,"123,887,489",,"-108,698",-0.88,"62,763","133,494","-70,731","449,161","487,128","-37,967",,     8月,Aug.,,"120,517,972",,"-145,790",-1.21,"60,696","132,786","-72,090","77,011","151,654","-74,643",943,     8月,Aug.,,"3,369,517",,"37,092",11.01,"2,067",708,"1,359","372,150","335,474","36,676",-943,,,,,,,,,,,,,,
     9月,Sept.,,"123,778,791",,"22,959",0.19,"60,143","125,461","-65,318","397,084","308,807","88,277",,     9月,Sept.,,"120,372,182",,"-76,590",-0.64,"58,056","124,759","-66,703","61,475","71,315","-9,840",-47,     9月,Sept.,,"3,406,609",,"99,549",29.22,"2,087",702,"1,385","335,609","237,492","98,117",47,,,,,,,,,,,,,,
    10月,Oct.,,"123,801,750",,"-17,655",-0.14,"62,421","129,229","-66,808","327,857","278,704","49,153",,    10月,Oct.,,"120,295,592",,"-68,257",-0.57,"60,211","128,487","-68,276","64,352","65,178",-826,845,    10月,Oct.,,"3,506,158",,"50,602",14.43,"2,210",742,"1,468","263,505","213,526","49,979",-845,,,,,,,,,,,,,,
    11月,Nov.,,"123,784,095",,"-39,817",-0.32,"56,929","132,804","-75,875","288,831","252,773","36,058",,    11月,Nov.,,"120,227,335",,"-72,527",-0.60,"54,917","132,091","-77,174","59,367","55,524","3,843",804,    11月,Nov.,,"3,556,760",,"32,710",9.20,"2,012",713,"1,299","229,464","197,249","32,215",-804,,,,,,,,,,,,,,
    12月,Dec.,,"123,744,278",,"-192,683",-1.56,"62,148","161,338","-99,190","352,953","446,446","-93,493",,    12月,Dec.,,"120,154,808",,"-5,467",-0.05,"59,864","160,448","-100,584","148,408","54,198","94,210",907,    12月,Dec.,,"3,589,470",,"-187,216",-52.16,"2,284",890,"1,394","204,545","392,248","-187,703",-907,,,,,,,,,,,,,,
2025年,,,,,,,,,,,,,,2025年,,,,,,,,,,,,,,2025年,,,,,,,,,,,,,,,,,,,,,,,,,,,
     1月,Jan.,,"123,551,595",,"-110,096",-0.89,"53,648","173,222","-119,574","450,923","441,445","9,478",,     1月,Jan.,,"120,149,341",,"-182,412",-1.52,"51,814","172,285","-120,471","67,637","130,108","-62,471",530,     1月,Jan.,,"3,402,254",,"72,316",21.26,"1,834",937,897,"383,286","311,337","71,949",-530,,,,,,,,,,,,,,
     2月,Feb.,,"123,441,499",,"-21,444",-0.17,"49,947","141,875","-91,928","353,444","282,960","70,484",,     2月,Feb.,,"119,966,929",,"-111,507",-0.93,"48,256","141,099","-92,843","46,304","65,577","-19,273",609,     2月,Feb.,,"3,474,570",,"90,063",25.92,"1,691",776,915,"307,140","217,383","89,757",-609,,,,,,,,,,,,,,
     3月,Mar.,,"123,420,055",,"-23,253",-0.19,"52,570","144,418","-91,848","436,612","368,017","68,595",,     3月,Mar.,,"119,855,422",,"-74,555",-0.62,"50,767","143,588","-92,821","81,894","64,724","17,170","1,096",     3月,Mar.,,"3,564,633",,"51,302",14.39,"1,803",830,973,"354,718","303,293","51,425","-1,096",,,,,,,,,,,,,,
     4月,Apr.,,"123,396,802",,"-54,796",-0.44,"56,501","129,156","-72,655","397,801","379,942","17,859",,     4月,Apr.,,"119,780,867",,"-88,259",-0.74,"54,685","128,359","-73,674","71,007","86,199","-15,192",607,     4月,Apr.,,"3,615,935",,"33,463",9.25,"1,816",797,"1,019","326,794","293,743","33,051",-607,,,,,,,,,,,,,,
     5月,May,,"123,342,006",,"28,935",0.23,"59,748","124,055","-64,307","406,845","313,603","93,242",,     5月,May,,"119,692,608",,"-56,733",-0.47,"57,895","123,265","-65,370","72,216","64,320","7,896",741,     5月,May,,"3,649,398",,"85,668",23.47,"1,853",790,"1,063","334,629","249,283","85,346",-741,,,,,,,,,,,,,,
     6月,June,,"123,370,941",,"-4,207",-0.03,"57,434","115,344","-57,910","365,360","311,657","53,703",,     6月,June,,"119,635,875",,"-16,781",-0.14,"55,658","114,692","-59,034","107,781","66,134","41,647",606,     6月,June,,"3,735,066",,"12,574",3.37,"1,776",652,"1,124","257,579","245,523","12,056",-606,,,,,,,,,,,,,,
     7月,July,,"123,366,734",,"-98,784",-0.80,"62,521","118,980","-56,459","394,642","436,967","-42,325",,     7月,July,,"119,619,094",,"-36,312",-0.30,"60,647","118,274","-57,627","118,226","98,055","20,171","1,144",     7月,July,,"3,747,640",,"-62,472",-16.67,"1,874",706,"1,168","276,416","338,912","-62,496","-1,144",,,,,,,,,,,,,,
     8月,Aug.,,"123,267,950",,,,,,,,,,,     8月,Aug.,,"119,582,782",,,,,,,,,,,     8月,Aug.,,"3,685,168",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　1)  各年の人口は、当該年の10月１日現在の人口。各月の人口は、当該月の１日現在の人口,,,,,,,,,,,,,,    1)  Population for each year is the population as of October 1 of the stated year.  Population for each month is the population as of the first day of the stated month.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　2)　2020年９月以前の人口は、令和２年（2020年）国勢調査結果による補間補正人口,,,,,,,,,,,,,,    2)  Population figures until September 2020 are intercensal adjustment of population estimates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　  　＊ 2020年９月以前の「純増減」には、補間補正値を含む。このため、自然動態と社会動態の計（日本人人口及び外国人,,,,,,,,,,,,,,     *  Population change until September 2020 included intercensal adjustment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　人口は国籍の異動による純増を含む。）は純増減と一致しない。,,,,,,,,,,,,,,    3)  Population change for each year relates to the period from October of the previous year to September of the stated year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　3)　各年の「人口増減」は、前年10月～当年９月の計。各月の「人口増減」は、当該１か月分の数値,,,,,,,,,,,,,,         Population change for each month relates to the period from the first day to the last day of the stated month.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　4)　「人口動態統計」(厚生労働省)による。,,,,,,,,,,,,,,"    4)  The Vital Statistics by the Ministry of Health, Labour and Welfare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　5)  「出入国管理統計」(出入国在留管理庁)による。,,,,,,,,,,,,,,    5)  The Statistics on Legal Migrants compiled by the Immigration Services Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　6)　増減数を期首人口で除したもの(千人比:‰),,,,,,,,,,,,,,    6)  Obtained by dividing the number of the net change by the population as of the beginning of the period concerned.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　7)　法務省資料による。,,,,,,,,,,,,,,    7)  The data by the Ministry of Justice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　8)　平成27年（2015年）国勢調査による人口,,,,,,,,,,,,,,    8)  The 2015 Population Census,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　  9)　平成27年（2015年）国勢調査による人口(国籍不詳をあん分した人口),,,,,,,,,,,,,,    9)  The 2015 Population Census (Unknown nationality population is included after being prorated to each nationality population.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 　10)　令和２年（2020年）国勢調査による人口,,,,,,,,,,,,,,  10)  The 2020 Population Census,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　 11)　令和２年（2020年）国勢調査による人口(不詳補完値),,,,,,,,,,,,,,  11)  The 2020 Population Census (Result with Imputation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
